FaixaEtaria;UF;Fem;Masc
"[5-10)";"50";95303;100193
"[10-15)";"50";91797;99050
"[15-20)";"50";90422;97183
"[20-25)";"50";93565;94824
"[25-30)";"50";99619;92932
"[30-35)";"50";105633;92574
"[35-40)";"50";108647;94211
"[40-45)";"50";108222;95793
"[45-50)";"50";104882;94529
"[50-55)";"50";98821;88394
"[55-60)";"50";88524;78083
"[60-65)";"50";73334;65296
"[65-70)";"50";55187;51755
"[70-75)";"50";38556;38803
"[75-80)";"50";25810;27439
"[80-85)";"50";16641;17661
"[85-90)";"50";9344;8763
"[90-95)";"50";4024;2747
"[95-100)";"50";1389;581
"[100+)";"50";798;254
"[0-5)";"51";114766;111873
"[5-10)";"51";116183;115337
"[10-15)";"51";119252;123130
"[15-20)";"51";122115;130893
"[20-25)";"51";123492;134458
"[25-30)";"51";125051;134333
"[30-35)";"51";129333;132580
"[35-40)";"51";137703;130829
"[40-45)";"51";145057;128800
"[45-50)";"51";143575;125786
"[50-55)";"51";128518;120237
"[55-60)";"51";105654;107648
"[60-65)";"51";82101;85718
"[65-70)";"51";61528;58992
"[70-75)";"51";43815;37394
"[75-80)";"51";28959;23809
"[80-85)";"51";17042;15664
"[85-90)";"51";7970;8669
"[90-95)";"51";2597;3099
"[95-100)";"51";641;722
"[100+)";"51";311;328
"[0-5)";"52";199069;227482
"[5-10)";"52";206038;236407
"[10-15)";"52";222535;254805
"[15-20)";"52";241149;268043
"[20-25)";"52";254357;263688
"[25-30)";"52";262617;249813
"[30-35)";"52";269324;238979
"[35-40)";"52";277039;238677
"[40-45)";"52";283078;243280
"[45-50)";"52";283166;243948
"[50-55)";"52";273110;233177
"[55-60)";"52";249508;210183
"[60-65)";"52";211978;177669
"[65-70)";"52";165176;140058
"[70-75)";"52";118573;102392
"[75-80)";"52";79126;69035
"[80-85)";"52";48470;41615
"[85-90)";"52";24683;19639
"[90-95)";"52";9261;6194
"[95-100)";"52";2741;1413
"[100+)";"52";1458;652
"[0-5)";"53";86290;80589
"[5-10)";"53";91323;87591
"[10-15)";"53";103163;103838
"[15-20)";"53";115722;119124
"[20-25)";"53";122189;121271
"[25-30)";"53";124082;114655
"[30-35)";"53";126166;108898
"[35-40)";"53";131815;109738
"[40-45)";"53";137096;112611
"[45-50)";"53";135553;110275
"[50-55)";"53";122920;97981
"[55-60)";"53";102706;79598
"[60-65)";"53";80256;60449
"[65-70)";"53";59524;43817
"[70-75)";"53";42524;30785
"[75-80)";"53";29694;21262
"[80-85)";"53";19528;13741
"[85-90)";"53";9472;6141
"[90-95)";"53";2520;1317
"[95-100)";"53";385;142
"[100+)";"53";139;42
